username,content,like_count,retweet_count,location,year,tweets,location_cleaned,tokens,tokens_cleaned,polarity_score
AppolonaAdeyemi,mPharma launches mobile POS to enhance retail operations for pharmacies https://t.co/0d9cx2NSUg via @Newtelegraphng @jidesanwoolu @emzornigeria @mPharmaHealth @Fmohnigeria @LSMOH @nmanigeria,0,0,"""""",2023,mPharma launches mobile POS to enhance retail operations for pharmacies  via       ,"""""","['mPharma', 'launches', 'mobile', 'POS', 'to', 'enhance', 'retail', 'operations', 'for', 'pharmacies', 'via']",mPharma launches mobile POS enhance retail operations pharmacies via,0.0
DRF_India,Medical expenses push millions into poverty. Patients can use Mutti Card by @mPharmaHealth to pay for medicines at network pharmacies in installments. They also achieve lower prices for network pharmacies by predicting &amp; aggregating demand👏#innovation #healthcare #SDGs https://t.co/HdApwigCYP,2,1,Hyderabad,2023,Medical expenses push millions into poverty Patients can use Mutti Card by  to pay for medicines at network pharmacies in installments They also achieve lower prices for network pharmacies by predicting amp aggregating demand   ,Hyderabad,"['Medical', 'expenses', 'push', 'millions', 'into', 'poverty', 'Patients', 'can', 'use', 'Mutti', 'Card', 'by', 'to', 'pay', 'for', 'medicines', 'at', 'network', 'pharmacies', 'in', 'installments', 'They', 'also', 'achieve', 'lower', 'prices', 'for', 'network', 'pharmacies', 'by', 'predicting', 'amp', 'aggregating', 'demand']",Medical expenses push millions poverty Patients use Mutti Card pay medicines network pharmacies installments also achieve lower prices network pharmacies predicting amp aggregating demand,0.0
PaulDamalie,"Pretty excited for my sister , she's studying biological sciences and software engineering. She's excited about her career options.@Rockson2  @mPharmaHealth What are the internship opportunities for her profile?",1,0,ACC/ LON,2023,Pretty excited for my sister  shes studying biological sciences and software engineering Shes excited about her career options   What are the internship opportunities for her profile,ACC/ LON,"['Pretty', 'excited', 'for', 'my', 'sister', 'shes', 'studying', 'biological', 'sciences', 'and', 'software', 'engineering', 'Shes', 'excited', 'about', 'her', 'career', 'options', 'What', 'are', 'the', 'internship', 'opportunities', 'for', 'her', 'profile']",Pretty excited sister shes studying biological sciences software engineering Shes excited career options internship opportunities profile,0.3333333333333333
AlsoliCinzia,"Greetings @mPharmaHealth, pls support #SaveSoil for a #ConsciousPlanet! 
#TsekeWalksForSoil @FKihamut 
@JideJaydee
@SaveSoilSourav
@cpsavesoil https://t.co/HRnjGZVghR",22,10,Legnano -MI- Italia,2023,"Greetings  pls support  for a  
  


 ",Legnano -MI- Italia,"['Greetings', 'pls', 'support', 'for', 'a']",Greetings pls support,0.0
SaveSoilSourav,"Greetings @mPharmaHealth 
Mr Tseke Nkadimeng @HeadlinesMzans &amp; team are walking 10,000km to raise #SaveSoil awareness. It will be great to have your cheer!
@cpsavesoil #TsekeWalksForSoil",30,21,India,2023,"Greetings  
Mr Tseke Nkadimeng  amp team are walking 10000km to raise  awareness It will be great to have your cheer
 ",India,"['Greetings', 'Mr', 'Tseke', 'Nkadimeng', 'amp', 'team', 'are', 'walking', '10000km', 'to', 'raise', 'awareness', 'It', 'will', 'be', 'great', 'to', 'have', 'your', 'cheer']",Greetings Mr Tseke Nkadimeng amp team walking 10000km raise awareness great cheer,0.8
PythonAccra,"Join us as we kick-off our #PyChat series with the need-to-know of a Software Engineer.

Let's learn about the journey of Kwame, a Software Engineer at @mPharmaHealth on how he got started and progressed along the way.

Registration link: https://t.co/IyyPvfaquy

#PythonAccra https://t.co/QgmxI71uie",44,26,"Accra, Ghana",2023,"Join us as we kickoff our  series with the needtoknow of a Software Engineer

Lets learn about the journey of Kwame a Software Engineer at  on how he got started and progressed along the way

Registration link 

 ","Accra, Ghana","['Join', 'us', 'as', 'we', 'kickoff', 'our', 'series', 'with', 'the', 'needtoknow', 'of', 'a', 'Software', 'Engineer', 'Lets', 'learn', 'about', 'the', 'journey', 'of', 'Kwame', 'a', 'Software', 'Engineer', 'at', 'on', 'how', 'he', 'got', 'started', 'and', 'progressed', 'along', 'the', 'way', 'Registration', 'link']",Join us kickoff series needtoknow Software Engineer Lets learn journey Kwame Software Engineer got started progressed along way Registration link,0.0
Dr_nuellie_,"I’ve found that sometimes patients find it difficult to discuss sexual health issues face to face. And for that @mpharmamutti has gotten qualified health professionals on their website to answer all your sexual health questions anonymously!

Click here: https://t.co/RD7wDxTkLz",5,3,Ghana,2023,"Ive found that sometimes patients find it difficult to discuss sexual health issues face to face And for that  has gotten qualified health professionals on their website to answer all your sexual health questions anonymously

Click here ",Ghana,"['Ive', 'found', 'that', 'sometimes', 'patients', 'find', 'it', 'difficult', 'to', 'discuss', 'sexual', 'health', 'issues', 'face', 'to', 'face', 'And', 'for', 'that', 'has', 'gotten', 'qualified', 'health', 'professionals', 'on', 'their', 'website', 'to', 'answer', 'all', 'your', 'sexual', 'health', 'questions', 'anonymously', 'Click', 'here']",Ive found sometimes patients find difficult discuss sexual health issues face face gotten qualified health professionals website answer sexual health questions anonymously Click,0.16666666666666666
Dr_nuellie_,"Have you visited @mpharmamutti's website? They have doctors on standby from now till 16th Feb to anonymously (for we the shy ones🙈🤣) answer all your questions on sexual and general health.

Check it out here:
https://t.co/RD7wDxTkLz",7,5,Ghana,2023,"Have you visited s website They have doctors on standby from now till 16th Feb to anonymously for we the shy ones answer all your questions on sexual and general health

Check it out here
",Ghana,"['Have', 'you', 'visited', 's', 'website', 'They', 'have', 'doctors', 'on', 'standby', 'from', 'now', 'till', '16th', 'Feb', 'to', 'anonymously', 'for', 'we', 'the', 'shy', 'ones', 'answer', 'all', 'your', 'questions', 'on', 'sexual', 'and', 'general', 'health', 'Check', 'it', 'out', 'here']",visited website doctors standby till 16th Feb anonymously shy ones answer questions sexual general health Check,0.016666666666666673
mamiyaa,"My first CPD!!! 
I’ll be sharing a bit from our (@mPharmaHealth @mpharmamutti ) work in cervical cancer in Ghana. 
If you’re a pharmacist in Ghana, it’s live now but you can access it on the CES platform until later this month. https://t.co/xdodL1QeCb",31,19,"""""",2023,"My first CPD 
Ill be sharing a bit from our    work in cervical cancer in Ghana 
If youre a pharmacist in Ghana its live now but you can access it on the CES platform until later this month ","""""","['My', 'first', 'CPD', 'Ill', 'be', 'sharing', 'a', 'bit', 'from', 'our', 'work', 'in', 'cervical', 'cancer', 'in', 'Ghana', 'If', 'youre', 'a', 'pharmacist', 'in', 'Ghana', 'its', 'live', 'now', 'but', 'you', 'can', 'access', 'it', 'on', 'the', 'CES', 'platform', 'until', 'later', 'this', 'month']",first CPD Ill sharing bit work cervical cancer Ghana youre pharmacist Ghana live access CES platform later month,-0.02840909090909091
Dr_nuellie_,"It’s Val’s Day &amp; I’m sure some of us have questions about sex but don’t know who or are too shy to ask. That’s why @mpharmamutti has made doctors available from now till 16th Feb to answer your questions anonymously!

Simply click this link to #spillthetea https://t.co/RD7wDxTkLz",3,4,Ghana,2023,"Its Vals Day amp Im sure some of us have questions about sex but dont know who or are too shy to ask Thats why  has made doctors available from now till 16th Feb to answer your questions anonymously

Simply click this link to  ",Ghana,"['Its', 'Vals', 'Day', 'amp', 'Im', 'sure', 'some', 'of', 'us', 'have', 'questions', 'about', 'sex', 'but', 'dont', 'know', 'who', 'or', 'are', 'too', 'shy', 'to', 'ask', 'Thats', 'why', 'has', 'made', 'doctors', 'available', 'from', 'now', 'till', '16th', 'Feb', 'to', 'answer', 'your', 'questions', 'anonymously', 'Simply', 'click', 'this', 'link', 'to']",Vals Day amp Im sure us questions sex dont know shy ask Thats made doctors available till 16th Feb answer questions anonymously Simply click link,0.1
marakatherine1,"This case highlights how the leadership &amp; board of @mPharmaHealth considered a big &amp; complex opportunity to manage the meds supply chain for the govt of Gabon, funded by the Sovereign Wealth Fund. Great read &amp; inspiring partnership. Fr @Prof_Yadav_SCM  https://t.co/JFY0a3IbGE",38,10,Unceded land | Canada,2023,This case highlights how the leadership amp board of  considered a big amp complex opportunity to manage the meds supply chain for the govt of Gabon funded by the Sovereign Wealth Fund Great read amp inspiring partnership Fr   ,Unceded land | Canada,"['This', 'case', 'highlights', 'how', 'the', 'leadership', 'amp', 'board', 'of', 'considered', 'a', 'big', 'amp', 'complex', 'opportunity', 'to', 'manage', 'the', 'meds', 'supply', 'chain', 'for', 'the', 'govt', 'of', 'Gabon', 'funded', 'by', 'the', 'Sovereign', 'Wealth', 'Fund', 'Great', 'read', 'amp', 'inspiring', 'partnership', 'Fr']",case highlights leadership amp board considered big amp complex opportunity manage meds supply chain govt Gabon funded Sovereign Wealth Fund Great read amp inspiring partnership Fr,0.25
AJack,MBA case study: fixing pharma in Gabon https://t.co/P1Ps2vKjiU @INSEAD @Prof_Yadav_SCM @mPharmaHealth,2,0,"New York, USA",2023,MBA case study fixing pharma in Gabon    ,"New York, USA","['MBA', 'case', 'study', 'fixing', 'pharma', 'in', 'Gabon']",MBA case study fixing pharma Gabon,0.0
BrandeeMcHale,"The pandemic taught us countless lessons about what matters around the world. One of the biggest? The importance of access to quality healthcare. With financing from @Citi, @mPharmaHealth is providing affordable vaccines and medicine to low-income families in Sub-Saharan Africa",4,0,"New York, NY",2023,The pandemic taught us countless lessons about what matters around the world One of the biggest The importance of access to quality healthcare With financing from   is providing affordable vaccines and medicine to lowincome families in SubSaharan Africa,"New York, NY","['The', 'pandemic', 'taught', 'us', 'countless', 'lessons', 'about', 'what', 'matters', 'around', 'the', 'world', 'One', 'of', 'the', 'biggest', 'The', 'importance', 'of', 'access', 'to', 'quality', 'healthcare', 'With', 'financing', 'from', 'is', 'providing', 'affordable', 'vaccines', 'and', 'medicine', 'to', 'lowincome', 'families', 'in', 'SubSaharan', 'Africa']",pandemic taught us countless lessons matters around world One biggest importance access quality healthcare financing providing affordable vaccines medicine lowincome families SubSaharan Africa,0.0
RealNti,"#African #AfricanAmericanStudies
#startups #startupindia @mPharmaHealth
5 African startup founders to watch out for in 2023 https://t.co/mQ33zhx6oB via @Ghnewsexpress",0,0,Ghana,2023," 
  
5 African startup founders to watch out for in 2023  via ",Ghana,"['5', 'African', 'startup', 'founders', 'to', 'watch', 'out', 'for', 'in', '2023', 'via']",5 African startup founders watch 2023 via,0.0
WalterAKerr,"In Africa, Asia &amp; Latin America there is a new generation of companies like @mPharmaHealth @kashaglobal @MaishaMeds @LifestoresNG &amp; @zipline that are transforming health supply chains.

But none of them could ever compete for $1 of these ""Next Generation"" global health awards.",2,1,"Washington, DC",2023,"In Africa Asia amp Latin America there is a new generation of companies like     amp  that are transforming health supply chains

But none of them could ever compete for 1 of these Next Generation global health awards","Washington, DC","['In', 'Africa', 'Asia', 'amp', 'Latin', 'America', 'there', 'is', 'a', 'new', 'generation', 'of', 'companies', 'like', 'amp', 'that', 'are', 'transforming', 'health', 'supply', 'chains', 'But', 'none', 'of', 'them', 'could', 'ever', 'compete', 'for', '1', 'of', 'these', 'Next', 'Generation', 'global', 'health', 'awards']",Africa Asia amp Latin America new generation companies like amp transforming health supply chains none could ever compete 1 Next Generation global health awards,0.04545454545454545
Citi,"Affordable healthcare is a fundamental aspect to lifting people out of poverty. With financing from Citi, @mPharmaHealth is providing affordable vaccines and medicine to low-income families in Sub-Saharan Africa. Learn more at @NowThisNews: https://t.co/jrw4s6KmtB https://t.co/JOfjsn7Gvf",10,2,"New York, NY",2023,Affordable healthcare is a fundamental aspect to lifting people out of poverty With financing from Citi  is providing affordable vaccines and medicine to lowincome families in SubSaharan Africa Learn more at   ,"New York, NY","['Affordable', 'healthcare', 'is', 'a', 'fundamental', 'aspect', 'to', 'lifting', 'people', 'out', 'of', 'poverty', 'With', 'financing', 'from', 'Citi', 'is', 'providing', 'affordable', 'vaccines', 'and', 'medicine', 'to', 'lowincome', 'families', 'in', 'SubSaharan', 'Africa', 'Learn', 'more', 'at']",Affordable healthcare fundamental aspect lifting people poverty financing Citi providing affordable vaccines medicine lowincome families SubSaharan Africa Learn,0.0
JobInRwanda,"mPharma - Rwanda is seeking to recruit a SENIOR FINANCE ASSOCIATE (RE-ADVERTISED).

Visit: https://t.co/UNK7ixMqOy for more information.

The deadline is on Sunday, 29/01/2023. @mPharmaHealth https://t.co/iECAMgyWQS",0,1,info@jobinrwanda.com,2023,"mPharma  Rwanda is seeking to recruit a SENIOR FINANCE ASSOCIATE READVERTISED

Visit  for more information

The deadline is on Sunday 29012023  ",info@jobinrwanda.com,"['mPharma', 'Rwanda', 'is', 'seeking', 'to', 'recruit', 'a', 'SENIOR', 'FINANCE', 'ASSOCIATE', 'READVERTISED', 'Visit', 'for', 'more', 'information', 'The', 'deadline', 'is', 'on', 'Sunday', '29012023']",mPharma Rwanda seeking recruit SENIOR FINANCE ASSOCIATE READVERTISED Visit information deadline Sunday 29012023,0.0
AfridigestHQ,"💡 Sometimes in Africa, you have to run twice as fast just to stay in the same place

Startups can see strong growth in local currency terms but fail to make any real progress in USD terms — and capital is raised in USD

@mPharmaHealth's @Rockson2 shares his experience here: https://t.co/h2E0U3t9R5",6,1,🟩🟩🟩🟨⬜ 10K subscribers ➜,2023," Sometimes in Africa you have to run twice as fast just to stay in the same place

Startups can see strong growth in local currency terms but fail to make any real progress in USD terms  and capital is raised in USD

s  shares his experience here ", 10K subscribers ,"['Sometimes', 'in', 'Africa', 'you', 'have', 'to', 'run', 'twice', 'as', 'fast', 'just', 'to', 'stay', 'in', 'the', 'same', 'place', 'Startups', 'can', 'see', 'strong', 'growth', 'in', 'local', 'currency', 'terms', 'but', 'fail', 'to', 'make', 'any', 'real', 'progress', 'in', 'USD', 'terms', 'and', 'capital', 'is', 'raised', 'in', 'USD', 's', 'shares', 'his', 'experience', 'here']",Sometimes Africa run twice fast stay place Startups see strong growth local currency terms fail make real progress USD terms capital raised USD shares experience,0.06666666666666667
SkollFoundation,"The Africa Health Tech 50 is @HolonIq’s annual list of the most promising startups across digital health, biotech, medtech, &amp; other areas where #socents drive healthcare innovation. This year's list included @LifeBankcare &amp; @mPharmaHealth. Read more: ➡️ https://t.co/vfsOrxo5Vp https://t.co/LpUA9XoQ5E",2,0,Palo Alto,2022,The Africa Health Tech 50 is s annual list of the most promising startups across digital health biotech medtech amp other areas where  drive healthcare innovation This years list included  amp  Read more   ,Palo Alto,"['The', 'Africa', 'Health', 'Tech', '50', 'is', 's', 'annual', 'list', 'of', 'the', 'most', 'promising', 'startups', 'across', 'digital', 'health', 'biotech', 'medtech', 'amp', 'other', 'areas', 'where', 'drive', 'healthcare', 'innovation', 'This', 'years', 'list', 'included', 'amp', 'Read', 'more']",Africa Health Tech 50 annual list promising startups across digital health biotech medtech amp areas drive healthcare innovation years list included amp Read,0.1
e_joey_,Thank you @mpharmamutti,0,0,zone,2022,Thank you ,zone,"['Thank', 'you']",Thank,0.0
glassmanamanda,Testimony on Opportunities and Challenges in Modernizing Development Assistance #Aid #Innovation @Prof_Yadav_SCM @CGDev w call out to @MaishaMeds @mPharmaHealth ++ Hearing led by @JoaquinCastrotx   https://t.co/pkubdLITOq,7,4,"Washington, DC",2022,Testimony on Opportunities and Challenges in Modernizing Development Assistance     w call out to    Hearing led by    ,"Washington, DC","['Testimony', 'on', 'Opportunities', 'and', 'Challenges', 'in', 'Modernizing', 'Development', 'Assistance', 'w', 'call', 'out', 'to', 'Hearing', 'led', 'by']",Testimony Opportunities Challenges Modernizing Development Assistance w call Hearing led,0.0
gpi_germany,"Co-Founder and CEO of @mPharmaHealth, @Rockson2 has been recognized as one of the #MostInfluentialAfricans2022 👏 Watch the interview with their Co-Founder &amp; CPO @shoukimas at our @WorldHealthSmt dinner dialogue here: https://t.co/8vnCLEaNsq #healthTech @NewAfricanMag",0,1,"Berlin, Deutschland",2022,CoFounder and CEO of   has been recognized as one of the   Watch the interview with their CoFounder amp CPO  at our  dinner dialogue here   ,"Berlin, Deutschland","['CoFounder', 'and', 'CEO', 'of', 'has', 'been', 'recognized', 'as', 'one', 'of', 'the', 'Watch', 'the', 'interview', 'with', 'their', 'CoFounder', 'amp', 'CPO', 'at', 'our', 'dinner', 'dialogue', 'here']",CoFounder CEO recognized one Watch interview CoFounder amp CPO dinner dialogue,0.0
KaufmanR,"Dr. Feelgood? Really? Congratulations @Rockson2 and the @mPharmaHealth team.  Well deserved. The recognition, not the nickname. :)",1,0,Nairobi,2022,Dr Feelgood Really Congratulations  and the  team  Well deserved The recognition not the nickname ,Nairobi,"['Dr', 'Feelgood', 'Really', 'Congratulations', 'and', 'the', 'team', 'Well', 'deserved', 'The', 'recognition', 'not', 'the', 'nickname']",Dr Feelgood Really Congratulations team Well deserved recognition nickname,0.2
leahwaNduati,"When I’m not accelerating scale-ups, I am teaching yoga through @YogaXafrica It’s my attempt at balance🧘🏾‍♀️! 
Glad to partner with @mPharmaHealth @mpharmamutti for #muttiblackfriday",4,2,"Accra, Ghana",2022,"When Im not accelerating scaleups I am teaching yoga through  Its my attempt at balance 
Glad to partner with   for ","Accra, Ghana","['When', 'Im', 'not', 'accelerating', 'scaleups', 'I', 'am', 'teaching', 'yoga', 'through', 'Its', 'my', 'attempt', 'at', 'balance', 'Glad', 'to', 'partner', 'with', 'for']",Im accelerating scaleups teaching yoga attempt balance Glad partner,0.5
YogaXafrica,So honoured to be partnering with @mpharmamutti @mPharmaHealth to provide private yoga classes to lucky winners of the #muttiblackfriday promo. See the tweet below for how to win.🧘🏾‍♀️ #yogaexperiencesafrica #ImACelebrity #ImACeleb #RedVelvet,3,3,"Greater Accra, Ghana",2022,So honoured to be partnering with   to provide private yoga classes to lucky winners of the  promo See the tweet below for how to win    ,"Greater Accra, Ghana","['So', 'honoured', 'to', 'be', 'partnering', 'with', 'to', 'provide', 'private', 'yoga', 'classes', 'to', 'lucky', 'winners', 'of', 'the', 'promo', 'See', 'the', 'tweet', 'below', 'for', 'how', 'to', 'win']",honoured partnering provide private yoga classes lucky winners promo See tweet win,0.37777777777777777
Mys_BM,"Got my @mpharmamutti package delivered yesterday. Had a discount on my medication and the delivery was free🥳🥳

#muttiblackfriday https://t.co/p39EHSJreU",9,4,"Accra, Ghana",2022,"Got my  package delivered yesterday Had a discount on my medication and the delivery was free

 ","Accra, Ghana","['Got', 'my', 'package', 'delivered', 'yesterday', 'Had', 'a', 'discount', 'on', 'my', 'medication', 'and', 'the', 'delivery', 'was', 'free']",Got package delivered yesterday discount medication delivery free,0.4
CircleInnovtn,"|| Startup Spotlight ||

In today's startup spotlight series, we are happy to feature @mPharmaHealth, a technology-driven healthcare company building an Africa that is in good health. Their mission is to increase patient access to high-quality medications. 
#ehealth #healthcare",3,0,Nairobi,2022," Startup Spotlight 

In todays startup spotlight series we are happy to feature  a technologydriven healthcare company building an Africa that is in good health Their mission is to increase patient access to highquality medications 
 ",Nairobi,"['Startup', 'Spotlight', 'In', 'todays', 'startup', 'spotlight', 'series', 'we', 'are', 'happy', 'to', 'feature', 'a', 'technologydriven', 'healthcare', 'company', 'building', 'an', 'Africa', 'that', 'is', 'in', 'good', 'health', 'Their', 'mission', 'is', 'to', 'increase', 'patient', 'access', 'to', 'highquality', 'medications']",Startup Spotlight todays startup spotlight series happy feature technologydriven healthcare company building Africa good health mission increase patient access highquality medications,0.75
adono_,I want to work at @mPharmaHealth one day.,3,1,Earth,2022,I want to work at  one day,Earth,"['I', 'want', 'to', 'work', 'at', 'one', 'day']",want work one day,0.0
kofi_little_boy,"I see huge potentials highlighted here, and I believe @mPharmaHealth is well on course to achieve these. A loyalty-based business model will always deliver more than expected.",1,0,"""""",2022,I see huge potentials highlighted here and I believe  is well on course to achieve these A loyaltybased business model will always deliver more than expected,"""""","['I', 'see', 'huge', 'potentials', 'highlighted', 'here', 'and', 'I', 'believe', 'is', 'well', 'on', 'course', 'to', 'achieve', 'these', 'A', 'loyaltybased', 'business', 'model', 'will', 'always', 'deliver', 'more', 'than', 'expected']",see huge potentials highlighted believe well course achieve loyaltybased business model always deliver expected,0.15000000000000002
wzcrti,if the first option is @mpharmamutti then yes,4,2,usr/bin/wuz,2022,if the first option is  then yes,usr/bin/wuz,"['if', 'the', 'first', 'option', 'is', 'then', 'yes']",first option yes,0.25
LolanEkow,If you are in Ghana and need to purchase medicines for chronic illnesses try @mpharmamutti . A relative just saved 68 cedis on the cost of medication. It really works. Thanks @Rockson2 and @mPharmaHealth,6,0,New York / Accra / Dubai,2022,If you are in Ghana and need to purchase medicines for chronic illnesses try   A relative just saved 68 cedis on the cost of medication It really works Thanks  and ,New York / Accra / Dubai,"['If', 'you', 'are', 'in', 'Ghana', 'and', 'need', 'to', 'purchase', 'medicines', 'for', 'chronic', 'illnesses', 'try', 'A', 'relative', 'just', 'saved', '68', 'cedis', 'on', 'the', 'cost', 'of', 'medication', 'It', 'really', 'works', 'Thanks', 'and']",Ghana need purchase medicines chronic illnesses try relative saved 68 cedis cost medication really works Thanks,0.13333333333333333
EhuOfficial,"Anyone struggling with medication prices should look into @mpharmamutti options. 
They understand and  will help as much as they can . 🤗",4,3,Ghana,2022,"Anyone struggling with medication prices should look into  options 
They understand and  will help as much as they can  ",Ghana,"['Anyone', 'struggling', 'with', 'medication', 'prices', 'should', 'look', 'into', 'options', 'They', 'understand', 'and', 'will', 'help', 'as', 'much', 'as', 'they', 'can']",Anyone struggling medication prices look options understand help much,0.2
mutti_ng,"Same thing for Nigeria; everyday prices are getting higher. Let's help you cut down on your medication costs; your health is non-negotiable.

Want to know more? visit https://t.co/kCfxfiapCl 

This applies to Ghana as well @mpharmamutti",2,2,Nigeria,2022,"Same thing for Nigeria everyday prices are getting higher Lets help you cut down on your medication costs your health is nonnegotiable

Want to know more visit  

This applies to Ghana as well ",Nigeria,"['Same', 'thing', 'for', 'Nigeria', 'everyday', 'prices', 'are', 'getting', 'higher', 'Lets', 'help', 'you', 'cut', 'down', 'on', 'your', 'medication', 'costs', 'your', 'health', 'is', 'nonnegotiable', 'Want', 'to', 'know', 'more', 'visit', 'This', 'applies', 'to', 'Ghana', 'as', 'well']",thing Nigeria everyday prices getting higher Lets help cut medication costs health nonnegotiable Want know visit applies Ghana well,0.024999999999999994
KaufmanR,Looking forward to hearing ideas from @LotusTechnicals Tasa Pharma. Come on @mPharmaHealth @Rockson2... we'd love your voice at this conference too.,4,1,Nairobi,2022,Looking forward to hearing ideas from  Tasa Pharma Come on   wed love your voice at this conference too,Nairobi,"['Looking', 'forward', 'to', 'hearing', 'ideas', 'from', 'Tasa', 'Pharma', 'Come', 'on', 'wed', 'love', 'your', 'voice', 'at', 'this', 'conference', 'too']",Looking forward hearing ideas Tasa Pharma Come wed love voice conference,0.5
seyitaylor,Who was I telling about @Rockson2 2 weeks ago? An absolute beast and champion. What he and his team are pulling off with @mPharmaHealth is simply amazing.,4,0,present.,2022,Who was I telling about  2 weeks ago An absolute beast and champion What he and his team are pulling off with  is simply amazing,present.,"['Who', 'was', 'I', 'telling', 'about', '2', 'weeks', 'ago', 'An', 'absolute', 'beast', 'and', 'champion', 'What', 'he', 'and', 'his', 'team', 'are', 'pulling', 'off', 'with', 'is', 'simply', 'amazing']",telling 2 weeks ago absolute beast champion team pulling simply amazing,0.4
selasieanani,"Last week, we had the privilege of having 5 amazing engineers(ladies)  join the team @mPharmaHealth. This is a year long program and they will be embedded in teams building products that guarantee quality healthcare for patients.",5,5,Ghana,2022,Last week we had the privilege of having 5 amazing engineersladies  join the team  This is a year long program and they will be embedded in teams building products that guarantee quality healthcare for patients,Ghana,"['Last', 'week', 'we', 'had', 'the', 'privilege', 'of', 'having', '5', 'amazing', 'engineersladies', 'join', 'the', 'team', 'This', 'is', 'a', 'year', 'long', 'program', 'and', 'they', 'will', 'be', 'embedded', 'in', 'teams', 'building', 'products', 'that', 'guarantee', 'quality', 'healthcare', 'for', 'patients']",Last week privilege 5 amazing engineersladies join team year long program embedded teams building products guarantee quality healthcare patients,0.18333333333333335
NanaAdomMillsRo,Did a piece on @mPharmaHealth for @palava_the. Built in true palava style (information + entertainment). Big shoutout to @Rockson2 and team for building this company. If you have slander...(I mean feedback). Jump in the comments - we're learning together.,2,1,"""""",2022,Did a piece on  for  Built in true palava style information  entertainment Big shoutout to  and team for building this company If you have slanderI mean feedback Jump in the comments  were learning together,"""""","['Did', 'a', 'piece', 'on', 'for', 'Built', 'in', 'true', 'palava', 'style', 'information', 'entertainment', 'Big', 'shoutout', 'to', 'and', 'team', 'for', 'building', 'this', 'company', 'If', 'you', 'have', 'slanderI', 'mean', 'feedback', 'Jump', 'in', 'the', 'comments', 'were', 'learning', 'together']",piece Built true palava style information entertainment Big shoutout team building company slanderI mean feedback Jump comments learning together,0.012499999999999992
palava_the,"The Ghanaian healthcare ecosystem suffers from the ""Triple A"" problem. 

Affordability, Accessibility, and Availability. 

One startup's tackling this. In this video we breakdown (In Palava style) the business behind @mPharmaHealth

 https://t.co/axRW6z6RkU https://t.co/Hf6Jjv4Q9Z",3,2,"""""",2022,"The Ghanaian healthcare ecosystem suffers from the Triple A problem 

Affordability Accessibility and Availability 

One startups tackling this In this video we breakdown In Palava style the business behind 

  ","""""","['The', 'Ghanaian', 'healthcare', 'ecosystem', 'suffers', 'from', 'the', 'Triple', 'A', 'problem', 'Affordability', 'Accessibility', 'and', 'Availability', 'One', 'startups', 'tackling', 'this', 'In', 'this', 'video', 'we', 'breakdown', 'In', 'Palava', 'style', 'the', 'business', 'behind']",Ghanaian healthcare ecosystem suffers Triple problem Affordability Accessibility Availability One startups tackling video breakdown Palava style business behind,-0.5
AfricWomenPower,You still haven’t addressed how @mPharmaHealth (you’re) able to purchase @HealthPlusLtd despite the ongoing litigation ? The minority shareholder there is a WOMAN/ Female -,0,0,Africa ,2022,You still havent addressed how  youre able to purchase  despite the ongoing litigation  The minority shareholder there is a WOMAN Female ,Africa ,"['You', 'still', 'havent', 'addressed', 'how', 'youre', 'able', 'to', 'purchase', 'despite', 'the', 'ongoing', 'litigation', 'The', 'minority', 'shareholder', 'there', 'is', 'a', 'WOMAN', 'Female']",still havent addressed youre able purchase despite ongoing litigation minority shareholder WOMAN Female,0.25
ElsewhereClinic,Glad to see @Rockson2 @mPharmaHealth continually push for innovation in #HealthcareManagement #Medicine #Pharmaceuticals,1,0,"Accra,Ghana.",2022,Glad to see   continually push for innovation in   ,"Accra,Ghana.","['Glad', 'to', 'see', 'continually', 'push', 'for', 'innovation', 'in']",Glad see continually push innovation,0.5
Bernard_Lomo,That's an interesting development from @mPharmaHealth,0,0,Ghana,2022,Thats an interesting development from ,Ghana,"['Thats', 'an', 'interesting', 'development', 'from']",Thats interesting development,0.5
YawBediako_,"I agree 💯. Need a parallel private sector system to get affordable drugs to those who need them. Right now, individual doctors have to raise funds to procure drugs from India. Seems like a great fit for what you are doing @mPharmaHealth taking advantage of economies of scale",4,0,"Accra, London, Kilifi",2022,I agree  Need a parallel private sector system to get affordable drugs to those who need them Right now individual doctors have to raise funds to procure drugs from India Seems like a great fit for what you are doing  taking advantage of economies of scale,"Accra, London, Kilifi","['I', 'agree', 'Need', 'a', 'parallel', 'private', 'sector', 'system', 'to', 'get', 'affordable', 'drugs', 'to', 'those', 'who', 'need', 'them', 'Right', 'now', 'individual', 'doctors', 'have', 'to', 'raise', 'funds', 'to', 'procure', 'drugs', 'from', 'India', 'Seems', 'like', 'a', 'great', 'fit', 'for', 'what', 'you', 'are', 'doing', 'taking', 'advantage', 'of', 'economies', 'of', 'scale']",agree Need parallel private sector system get affordable drugs need Right individual doctors raise funds procure drugs India Seems like great fit taking advantage economies scale,0.24761904761904763
